status,match_key,landsd_en,landsd_zh,landsd_district,landsd_date,landsd_gn,our_first_en,our_first_zh,our_first_date,our_first_gn,our_first_event_id,our_first_change_kind,our_latest_date,our_latest_gn,our_latest_event_id,our_latest_change_kind,date_eq_first,gn_eq_first,date_eq_latest,gn_eq_latest,notes
agree_latest,en:KWONG HON TERRACE,KWONG HON TERRACE,光漢臺,C&W,1920-11-05,GN550,Kwong Hon Terrace,光漢台,1920-11-05,GN550,crowd|1920-gn550-kwong-hon-terrace-11128-1920-11-05,declare,1920-11-05,GN550,crowd|1920-gn550-kwong-hon-terrace-11128-1920-11-05,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Kwong Lee Road|廣利道,KWONG LEE ROAD,廣利道,SSP,1934-02-09,GN91,Kwong Lee Road,廣利道,1934-02-09,GN91,crowd|1934-gn91-cheung-sha-wan-streets-11129-1934-02-09,declare,1934-02-09,GN91,crowd|1934-gn91-cheung-sha-wan-streets-11129-1934-02-09,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Kwong Ming Street|光明街,KWONG MING STREET,光明街,WC,1925-06-12,GN340,Kwong Ming Street,光明街,1925-06-12,GN340,crowd|1925-gn340-kwong-ming-street-11130-1925-06-12,declare,1925-06-12,GN340,crowd|1925-gn340-kwong-ming-street-11130-1925-06-12,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Kwong Shing Street|廣成街,KWONG SHING STREET,廣成街,SSP,1935-05-03,GN351,Kwong Shing Street,廣成街,1935-05-03,GN351,crowd|1935-gn351-new-kowloon-streets-11131-1935-05-03,declare,1935-05-03,GN351,crowd|1935-gn351-new-kowloon-streets-11131-1935-05-03,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Kwong Wa Street|廣華街,KWONG WA STREET,廣華街,YTM,1923-09-28,GN411,Kwong Wa Street,廣華街,1923-09-28,GN411,crowd|1923-gn411-cheung-sha-wan-road-11133-1923-09-28,declare,1923-09-28,GN411,crowd|1923-gn411-cheung-sha-wan-road-11133-1923-09-28,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Kwong Wang Street|廣宏街,KWONG WANG STREET,廣宏街,TP,1984-05-18,GN1451,Kwong Wang Street,廣宏街,1984-05-18,GN1451,crowd|1984-gn1451-kwong-wang-Kwong-Wang-Street-廣宏街-1984-05-18,declare,1984-05-18,GN1451,crowd|1984-gn1451-kwong-wang-Kwong-Wang-Street-廣宏街-1984-05-18,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Kwong Wing Lane|廣榮里,KWONG WING LANE,廣榮里,ST,2000-07-21,GN4740,Kwong Wing Lane,廣榮里,2000-07-21,GN4740,crowd|2000-gn4740-14031,declare,2000-07-21,GN4740,crowd|2000-gn4740-14031,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Kwu Uk Lane|古屋里,KWU UK LANE,古屋里,TW,1983-11-04,GN3497,Kwu Uk Lane,古屋里,1983-11-04,GN3497,crowd|1983-gn3497-tsuen-wan-Kwu-Uk-Lane-古屋里-1983-11-04,declare,1983-11-04,GN3497,crowd|1983-gn3497-tsuen-wan-Kwu-Uk-Lane-古屋里-1983-11-04,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Kwun Chung Street|官涌街,KWUN CHUNG STREET,官涌街,YTM,1932-03-18,GN173,Kwun Chung Street,官涌街,1932-03-18,GN173,crowd|1932-gn173-kwun-chung-street-11141-1932-03-18,declare,1932-03-18,GN173,crowd|1932-gn173-kwun-chung-street-11141-1932-03-18,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Kwun Tong Bypass|觀塘繞道,KWUN TONG BYPASS,觀塘繞道,KT,2020-11-20,GN6775,Kwun Tong Bypass,觀塘繞道,2020-11-20,GN6775,2020-11-20|GN6775|0,declare,2020-11-20,GN6775,2020-11-20|GN6775|0,declare,true,true,true,true,first_equals_latest
