event_id,source,publication_date,change_kind,street_name_en,street_name_zh,district_raw_en,notice_no
2017-03-03|GN1160|8,landsd,2017-03-03,declare,Shing Kai Road,承啟道,Kowloon City,GN1160
2017-03-03|GN1160|9,landsd,2017-03-03,declare,Tin Chai Lane East,天際里東,Kowloon City,GN1160
2017-03-10|GN1273|0,landsd,2017-03-10,declare,Chek Lap Kok Road,赤鱲角路,Islands (Lantau),GN1273
2017-03-10|GN1273|1,landsd,2017-03-10,declare,Hong Kong-Zhuhai-Macao Bridge Hong Kong Link Road,港珠澳大橋香港連接路,Islands (Lantau),GN1273
2017-03-10|GN1273|10,landsd,2017-03-10,declare,Shun Wan Road,順環路,Islands (Lantau),GN1273
2017-03-10|GN1273|11,landsd,2017-03-10,declare,Shun Wui Road,順匯路,Islands (Lantau),GN1273
2017-03-10|GN1273|12,landsd,2017-03-10,declare,Tung Wing Road,東榮路,Islands (Lantau),GN1273
2017-03-10|GN1273|2,landsd,2017-03-10,declare,Shun Chit Road,順捷路,Islands (Lantau),GN1273
2017-03-10|GN1273|3,landsd,2017-03-10,declare,Shun Fai Road,順暉路,Islands (Lantau),GN1273
2017-03-10|GN1273|4,landsd,2017-03-10,declare,Shun Hang Road,順行路,Islands (Lantau),GN1273
2017-03-10|GN1273|5,landsd,2017-03-10,declare,Shun Lin Road,順連路,Islands (Lantau),GN1273
2017-03-10|GN1273|6,landsd,2017-03-10,declare,Shun Long Road,順朗路,Islands (Lantau),GN1273
2017-03-10|GN1273|7,landsd,2017-03-10,declare,Shun Lui Road,順旅路,Islands (Lantau),GN1273
2017-03-10|GN1273|8,landsd,2017-03-10,declare,Shun Ming Road,順明路,Islands (Lantau),GN1273
2017-03-10|GN1273|9,landsd,2017-03-10,declare,Shun Ngon Road,順岸路,Islands (Lantau),GN1273
2017-04-07|GN1920|0,landsd,2017-04-07,declare,Tan Lai Street,丹荔街,Sham Shui Po,GN1920
2017-04-07|GN1920|1,landsd,2017-04-07,declare,Yau Ma Tei Interchange,油麻地交匯處,Yau Tsim Mong,GN1920
2017-04-07|GN1922|0,landsd,2017-04-07,declare,Heung Yip Path,香葉徑,Southern,GN1922
2017-04-21|GN2427|0,landsd,2017-04-21,declare,Hammer Hill Road,斧山道,Wong Tai Sin,GN2427
2017-04-21|GN2429|0,landsd,2017-04-21,,Hammer Hill Road,斧山道,Wong Tai Sin,GN2429
2017-06-30|GN4525|0,landsd,2017-06-30,declare,Tai Shu Ha Road West,大樹下西路,Yuen Long,GN4525
2017-08-04|GN5710|0,landsd,2017-08-04,declare,Kai San Road,啟新道,Wong Tai Sin,GN5710
2017-08-04|GN5710|1,landsd,2017-08-04,declare,Muk Long Street,沐朗街,Kowloon City,GN5710
2017-09-29|GN7314|0,landsd,2017-09-29,declare,Ping Kin Lane,屏健里,Yuen Long,GN7314
2017-09-29|GN7316|0,landsd,2017-09-29,declare,Yee Ming Path,怡明徑,Sai Kung,GN7316
2017-10-13|GN7595|0,landsd,2017-10-13,declare,Ching Yu Path,菁裕徑,Yuen Long,GN7595
2017-10-13|GN7595|1,landsd,2017-10-13,declare,Fung Cheung Path,鳳翔徑,Yuen Long,GN7595
2017-10-13|GN7595|2,landsd,2017-10-13,declare,Fung Kwan Path,鳳群徑,Yuen Long,GN7595
2017-10-13|GN7595|3,landsd,2017-10-13,declare,Fung Yau Path,鳳攸徑,Yuen Long,GN7595
2017-10-13|GN7595|4,landsd,2017-10-13,declare,Kin Cheung Street,建翔街,Yuen Long,GN7595
2017-10-13|GN7595|5,landsd,2017-10-13,declare,Kin Yip Path,建業徑,Yuen Long,GN7595
2017-10-13|GN7595|6,landsd,2017-10-13,declare,On Shun Path,安信徑,Yuen Long,GN7595
2017-10-13|GN7595|7,landsd,2017-10-13,declare,Sai Ching Path,西菁徑,Yuen Long,GN7595
2017-10-13|GN7595|8,landsd,2017-10-13,declare,Shui Che Kwun Lane,水車館里,Yuen Long,GN7595
